System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
15:11:06:430, 114205974890758,    0.058,    6.000, 3500,  11.087,   0.646,   0.180,  10.151,   0.592,   0.164, 28,  0,   1.531,   0.089,   0.025,   0.365,   0.021,   0.006,  65.000, 134.000, 210.000,   0.000,   0.000,   77,  12.717
15:11:06:495, 114206183178245,    0.124,    2.000, 1000,   1.887,   0.769,   0.214,   1.395,   0.683,   0.190, 28,  0,   1.281,   0.173,   0.048,   0.210,   0.035,   0.010,  65.000, 134.000, 210.000,   0.000,   0.000,   42,   6.635
15:11:06:569, 114206417777890,    0.197,    0.000, 1000,   0.878,   0.834,   0.232,   0.527,   0.721,   0.200, 28,  0,   1.151,   0.257,   0.072,   0.080,   0.041,   0.011,  65.000, 134.000, 210.000,   0.000,   0.000,   14,   1.539
15:11:06:624, 114206595374642,    0.253,    1.000, 1000,   0.653,   0.870,   0.242,   0.411,   0.744,   0.207, 28,  0,   1.072,   0.317,   0.088,   0.024,   0.042,   0.012,  65.000, 134.000, 210.000,   0.000,   0.000,    4,   0.000
15:11:06:679, 114206771255345,    0.308,    0.000, 1000,   0.636,   0.905,   0.251,   0.410,   0.767,   0.213, 28,  0,   1.047,   0.375,   0.104,   0.027,   0.044,   0.012,  65.000, 134.000, 210.000,   0.000,   0.000,    4,   0.000
15:11:06:735, 114206947012601,    0.363,    1.000,  900,   0.652,   0.941,   0.261,   0.406,   0.789,   0.219, 28,  0,   1.063,   0.433,   0.120,   0.029,   0.045,   0.013,  65.000, 134.000, 210.000,   0.000,   0.000,    5,   0.000
15:11:06:791, 114207125043515,    0.419,    0.000, 2900,   0.650,   0.977,   0.271,   0.418,   0.813,   0.226, 28,  0,   1.025,   0.490,   0.136,   0.035,   0.047,   0.013,  65.000, 134.000, 210.000,   0.000,   0.000,   74,   0.000
15:11:06:855, 114207332391047,    0.484,    1.000, 1100,   0.832,   1.031,   0.286,   0.610,   0.852,   0.237, 28,  0,   1.075,   0.560,   0.156,   0.015,   0.048,   0.013,  65.000, 134.000, 210.000,   0.000,   0.000,    1,   0.000
15:11:06:920, 114207537878358,    0.548,    0.000, 2300,   0.986,   1.095,   0.304,   0.747,   0.900,   0.250, 27,  0,   1.073,   0.629,   0.175,   0.027,   0.050,   0.014,  65.000, 134.000, 210.000,   0.000,   0.000,    2,   0.000
15:11:06:985, 114207746107009,    0.613,    2.000,  900,   1.013,   1.161,   0.322,   0.657,   0.943,   0.262, 27,  0,   1.154,   0.705,   0.196,   0.091,   0.056,   0.015,  65.000, 134.000, 210.000,   0.000,   0.000,   22,   0.567
