System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
15:16:02:390, 115150681925445,    0.060,   12.000, 4400,  18.694,   1.123,   0.312,  17.724,   1.064,   0.296, 39,  0,   1.661,   0.100,   0.028,   0.375,   0.023,   0.006,  65.000, 134.000, 210.000,   0.000,   0.000,   74,  10.249
15:16:02:453, 115150882347268,    0.123,   10.000, 4400,  17.769,   2.238,   0.622,  17.137,   2.140,   0.595, 38,  0,   1.413,   0.188,   0.052,   0.191,   0.034,   0.010,  65.000, 134.000, 210.000,   0.000,   0.000,   26,   4.150
15:16:02:516, 115151085653752,    0.187,    9.000, 4400,  18.093,   3.391,   0.942,  17.655,   3.265,   0.907, 39,  0,   1.232,   0.267,   0.074,   0.020,   0.036,   0.010,  65.000, 134.000, 210.000,   0.000,   0.000,  161,   0.000
15:16:02:579, 115151287051525,    0.250,    8.000, 4500,  18.804,   4.577,   1.271,  18.381,   4.425,   1.229, 45,  0,   1.282,   0.348,   0.097,   0.028,   0.038,   0.010,  65.000, 134.000, 210.000,   0.000,   0.000,    1,   0.000
15:16:02:659, 115151540087118,    0.329,    9.000, 4500,  19.336,   6.110,   1.697,  18.667,   5.904,   1.640, 48,  0,   1.456,   0.463,   0.129,   0.310,   0.062,   0.017,  65.000, 134.000, 210.000,   0.000,   0.000,   31,   5.996
15:16:02:754, 115151845768273,    0.425,    9.000, 4300,  19.073,   7.937,   2.205,  18.248,   7.652,   2.126, 36,  0,   1.611,   0.617,   0.172,   0.325,   0.093,   0.026,  65.000, 134.000, 210.000,   0.000,   0.000,   62,  11.000
15:16:02:834, 115152099460114,    0.504,    9.000, 3900,  11.790,   8.874,   2.465,  11.195,   8.542,   2.373, 37,  0,   1.837,   0.763,   0.212,   0.204,   0.109,   0.030,  65.000, 134.000, 210.000,   0.000,   0.000,   31,   5.186
15:16:02:897, 115152302044231,    0.568,   11.000, 4400,  16.365,   9.912,   2.753,  15.388,   9.518,   2.644, 46,  0,   1.688,   0.871,   0.242,   0.437,   0.137,   0.038,  65.000, 134.000, 210.000,   0.000,   0.000,   70,  12.876
15:16:02:961, 115152504459158,    0.631,    9.000, 4500,  18.556,  11.089,   3.080,  17.826,  10.649,   2.958, 43,  0,   1.403,   0.960,   0.267,   0.247,   0.153,   0.042,  65.000, 134.000, 210.000,   0.000,   0.000,   50,   8.809
15:16:03:055, 115152806506738,    0.726,    8.000, 4500,  16.436,  12.644,   3.512,  15.813,  12.145,   3.374, 43,  0,   1.325,   1.085,   0.301,   0.148,   0.167,   0.046,  65.000, 134.000, 210.000,   0.000,   0.000,   24,   3.184
