System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
15:14:28:667, 114851516822448,    0.054,   12.000, 4300,  21.456,   1.168,   0.324,  20.141,   1.096,   0.305, 37,  0,   1.717,   0.093,   0.026,   0.449,   0.024,   0.007,  65.000, 134.000, 210.000,   0.000,   0.000,   82,  11.303
15:14:28:731, 114851721395826,    0.119,   10.000, 4400,  18.859,   2.376,   0.660,  18.329,   2.271,   0.631, 37,  0,   1.425,   0.185,   0.051,   0.180,   0.036,   0.010,  65.000, 134.000, 210.000,   0.000,   0.000,   25,   4.089
15:14:28:795, 114851924598657,    0.182,    9.000, 4400,  18.674,   3.565,   0.990,  18.456,   3.446,   0.957, 38,  0,   1.217,   0.262,   0.073,   0.015,   0.037,   0.010,  65.000, 134.000, 210.000,   0.000,   0.000,  161,   0.000
15:14:28:857, 114852125417330,    0.245,    8.000, 4500,  19.099,   4.767,   1.324,  18.608,   4.617,   1.282, 43,  0,   1.255,   0.341,   0.095,   0.025,   0.039,   0.011,  65.000, 134.000, 210.000,   0.000,   0.000,    1,   0.000
15:14:28:952, 114852428329684,    0.340,    9.000, 4500,  19.377,   6.606,   1.835,  18.646,   6.386,   1.774, 46,  0,   1.475,   0.481,   0.134,   0.324,   0.069,   0.019,  65.000, 134.000, 210.000,   0.000,   0.000,   37,   7.062
15:14:29:048, 114852735196215,    0.436,    9.000, 4300,  18.450,   8.379,   2.328,  17.638,   8.082,   2.245, 38,  0,   1.667,   0.641,   0.178,   0.347,   0.103,   0.029,  65.000, 134.000, 210.000,   0.000,   0.000,   56,   9.929
15:14:29:175, 114853137938025,    0.562,   10.000, 4400,  14.258,  10.178,   2.827,  13.443,   9.778,   2.716, 43,  0,   1.766,   0.864,   0.240,   0.280,   0.138,   0.038,  65.000, 134.000, 210.000,   0.000,   0.000,   42,   7.732
15:14:29:238, 114853341167379,    0.626,    9.000, 4500,  19.274,  11.405,   3.168,  18.762,  10.972,   3.048, 42,  0,   1.427,   0.955,   0.265,   0.300,   0.157,   0.044,  65.000, 134.000, 210.000,   0.000,   0.000,   56,  10.167
15:14:29:334, 114853646352118,    0.722,    9.000, 4500,  18.404,  13.165,   3.657,  17.701,  12.665,   3.518, 42,  0,   1.427,   1.092,   0.303,   0.220,   0.178,   0.049,  65.000, 134.000, 210.000,   0.000,   0.000,   36,   6.220
15:14:29:445, 114854000779247,    0.833,    9.000, 4500,  17.615,  15.121,   4.200,  17.074,  14.561,   4.045, 42,  0,   1.243,   1.230,   0.342,   0.077,   0.187,   0.052,  65.000, 134.000, 210.000,   0.000,   0.000,    6,   0.521
15:14:29:572, 114854405253273,    0.959,   11.000, 4500,  18.502,  17.465,   4.851,  17.989,  16.840,   4.678, 42,  0,   1.347,   1.400,   0.389,   0.073,   0.196,   0.054,  65.000, 134.000, 210.000,   0.000,   0.000,    5,   0.369
15:14:29:636, 114854609647943,    1.023,   12.000, 4300,  20.447,  18.775,   5.215,  19.370,  18.080,   5.022, 40,  0,   2.184,   1.540,   0.428,   0.494,   0.228,   0.063,  65.000, 134.000, 210.000,   0.000,   0.000,   85,  16.335
15:14:29:700, 114854813434410,    1.087,   11.000, 4500,  20.960,  20.113,   5.587,  20.076,  19.362,   5.378, 33,  0,   2.178,   1.679,   0.466,   0.450,   0.256,   0.071,  65.000, 134.000, 210.000,   0.000,   0.000,   78,  14.236
15:14:29:778, 114855065212779,    1.166,   10.000, 4400,  18.193,  21.548,   5.986,  17.152,  20.715,   5.754, 40,  0,   2.123,   1.847,   0.513,   0.440,   0.291,   0.081,  65.000, 134.000, 210.000,   0.000,   0.000,   78,  14.312
15:14:29:842, 114855269453554,    1.230,   10.000, 4300,  18.527,  22.733,   6.315,  17.679,  21.846,   6.068, 39,  0,   2.079,   1.980,   0.550,   0.354,   0.314,   0.087,  65.000, 134.000, 210.000,   0.000,   0.000,   65,  11.564
15:14:29:906, 114855473263421,    1.294,    9.000, 4500,  17.366,  23.842,   6.623,  16.385,  22.892,   6.359, 41,  0,   2.054,   2.111,   0.586,   0.293,   0.332,   0.092,  65.000, 134.000, 210.000,   0.000,   0.000,   53,   9.441
15:14:29:970, 114855677867475,    1.358,   10.000, 4300,  17.474,  24.962,   6.934,  16.555,  23.953,   6.654, 41,  0,   2.073,   2.244,   0.623,   0.370,   0.356,   0.099,  65.000, 134.000, 210.000,   0.000,   0.000,   66,   9.316
15:14:30:033, 114855879359890,    1.421,   10.000, 4500,  17.954,  26.095,   7.249,  17.044,  25.029,   6.953, 41,  0,   2.083,   2.375,   0.660,   0.372,   0.380,   0.105,  65.000, 134.000, 210.000,   0.000,   0.000,   67,  11.849
15:14:30:129, 114856183960232,    1.517,   11.000, 4500,  21.279,  28.126,   7.813,  20.042,  26.942,   7.484, 41,  0,   2.278,   2.593,   0.720,   0.511,   0.428,   0.119,  65.000, 134.000, 210.000,   0.000,   0.000,   93,  17.957
15:14:30:208, 114856437126590,    1.596,   18.000, 4300,  20.773,  29.773,   8.270,  19.917,  28.521,   7.923, 38,  0,   2.195,   2.767,   0.769,   0.479,   0.466,   0.130,  65.000, 134.000, 210.000,   0.000,   0.000,   86,  17.340
15:14:30:290, 114856699399291,    1.678,   22.000, 4300,  35.065,  32.655,   9.071,  33.546,  31.278,   8.688, 40,  0,   2.691,   2.988,   0.830,   0.774,   0.530,   0.147,  65.000, 134.000, 210.000,   0.000,   0.000,  181,  34.709
15:14:30:386, 114857004500030,    1.774,   22.000, 4300,  30.892,  35.607,   9.891,  29.262,  34.075,   9.465, 44,  0,   2.444,   3.221,   0.895,   0.786,   0.605,   0.168,  65.000, 134.000, 210.000,   0.000,   0.000,  220,  37.270
